epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.87967,1.74211,4.29065,1.36688,0.00666,0.14141,0.03987,0.02576,1.50305,4.16495,1.14882,6.003e-05,6.003e-05,6.003e-05
2,4.94095,1.53042,3.90478,1.16187,0.02266,0.53535,0.18384,0.11198,1.49539,4.03287,1.04494,0.000125475,0.000125475,0.000125475
3,7.02739,1.40864,3.27156,1.08686,0.01981,0.52399,0.22903,0.13341,1.52481,4.0427,1.0855,0.0001896,0.0001896,0.0001896
4,9.11898,1.40706,2.5717,1.06873,0.02434,0.51551,0.26171,0.16507,1.27635,3.86184,0.96108,0.000252404,0.000252404,0.000252404
5,11.2166,1.36326,1.83922,1.05272,0.0406,0.55934,0.46358,0.31993,1.28427,3.66343,0.96024,0.000313888,0.000313888,0.000313888
6,13.2466,1.35446,1.51265,1.05567,0.04757,0.67965,0.63674,0.41289,1.31554,3.41843,0.98386,0.00037405,0.00037405,0.00037405
7,15.2814,1.2792,1.33941,1.02963,0.05605,0.72944,0.67357,0.40795,1.44662,3.22839,1.05018,0.000432892,0.000432892,0.000432892
8,17.2985,1.20973,1.1084,1.00622,0.97006,0.20795,0.78967,0.44145,1.694,2.89342,1.15677,0.000490414,0.000490414,0.000490414
9,19.3339,1.17079,1.02831,0.97963,0.9749,0.53214,0.86541,0.55448,1.28092,2.33835,1.00997,0.000546615,0.000546615,0.000546615
10,21.3573,1.12926,0.91762,0.97794,0.9392,0.65287,0.90283,0.60213,1.1952,1.93715,0.9884,0.000601495,0.000601495,0.000601495
11,23.4025,1.13698,0.85989,0.99038,0.90949,0.82386,0.98709,0.662,1.2152,1.50374,0.98212,0.000600967,0.000600967,0.000600967
12,25.4169,1.08152,0.81333,0.97214,0.8437,0.98514,0.99192,0.65532,1.20797,1.17568,0.98063,0.000594364,0.000594364,0.000594364
13,27.4456,1.06966,0.78158,0.969,0.86774,0.96854,0.995,0.69491,1.18716,0.96442,0.97265,0.00058776,0.00058776,0.00058776
14,29.4786,1.0637,0.74965,0.96437,0.90496,0.98087,0.995,0.71969,1.07987,0.83191,0.95146,0.000581157,0.000581157,0.000581157
15,31.4911,1.05415,0.73763,0.96762,0.89902,0.9635,0.995,0.66962,1.12557,0.81465,0.97125,0.000574554,0.000574554,0.000574554
16,33.5068,1.00025,0.69818,0.94627,0.91946,0.96328,0.995,0.70557,1.17389,0.68615,0.9764,0.00056795,0.00056795,0.00056795
17,35.5277,1.00675,0.68578,0.9523,0.9322,0.98369,0.995,0.6851,1.17903,0.69455,0.9922,0.000561347,0.000561347,0.000561347
18,37.5534,1.01546,0.68974,0.95387,0.95726,0.96413,0.995,0.67255,1.15898,0.63931,0.9886,0.000554744,0.000554744,0.000554744
19,39.5688,0.9972,0.67011,0.94735,0.93152,0.97113,0.99029,0.71898,1.09312,0.65526,0.96577,0.000548141,0.000548141,0.000548141
20,41.5965,0.95123,0.64075,0.93167,0.87125,0.9899,0.9895,0.68923,1.10296,0.72656,0.97212,0.000541537,0.000541537,0.000541537
21,43.6073,0.95525,0.64118,0.93217,0.95964,0.96501,0.98687,0.6928,1.10164,0.66433,0.97665,0.000534934,0.000534934,0.000534934
22,45.6266,0.95379,0.6326,0.93962,0.94269,0.95366,0.9868,0.69381,1.06826,0.70057,0.98841,0.000528331,0.000528331,0.000528331
23,47.6666,0.94482,0.63185,0.93522,0.95353,0.94063,0.99192,0.68422,1.09414,0.63417,0.98217,0.000521727,0.000521727,0.000521727
24,49.6974,0.93789,0.61933,0.93091,0.9338,0.95629,0.98909,0.70918,1.10197,0.63737,0.98085,0.000515124,0.000515124,0.000515124
25,51.721,0.95278,0.6195,0.92964,0.94649,0.9661,0.9868,0.68505,1.10303,0.63108,0.99399,0.000508521,0.000508521,0.000508521
26,53.7512,0.91691,0.59818,0.92529,0.95615,0.95738,0.98676,0.68903,1.07507,0.63138,0.97964,0.000501917,0.000501917,0.000501917
27,55.7855,0.94613,0.6032,0.93341,0.95902,0.97832,0.99192,0.69694,1.07931,0.58924,0.9778,0.000495314,0.000495314,0.000495314
28,57.8302,0.90859,0.59523,0.92744,0.94526,0.97954,0.995,0.69855,1.09436,0.60015,0.97612,0.000488711,0.000488711,0.000488711
29,59.8514,0.89436,0.59444,0.92408,0.92154,0.98895,0.995,0.6946,1.10426,0.59488,0.97734,0.000482108,0.000482108,0.000482108
30,61.8671,0.90056,0.58609,0.92107,0.94063,0.99395,0.995,0.6795,1.10154,0.5576,0.98311,0.000475504,0.000475504,0.000475504
31,63.8963,0.89012,0.58175,0.92367,0.96792,0.98974,0.994,0.6917,1.08147,0.55453,0.98283,0.000468901,0.000468901,0.000468901
32,65.9258,0.8922,0.58724,0.92111,0.95855,0.99133,0.995,0.68573,1.11607,0.54415,0.98565,0.000462298,0.000462298,0.000462298
33,67.9628,0.8685,0.56705,0.9108,0.95622,0.96457,0.994,0.69341,1.06494,0.54102,0.97365,0.000455694,0.000455694,0.000455694
34,69.9755,0.87958,0.56615,0.92479,0.92652,0.97304,0.98673,0.66558,1.15821,0.59492,1.015,0.000449091,0.000449091,0.000449091
35,72.0022,0.89073,0.57922,0.91845,0.94532,0.96049,0.9868,0.70777,1.14633,0.58084,0.99874,0.000442488,0.000442488,0.000442488
36,74.0536,0.8985,0.57186,0.92916,0.93777,0.97502,0.9879,0.72985,1.10786,0.58758,0.97932,0.000435884,0.000435884,0.000435884
37,76.1068,0.88844,0.56461,0.91873,0.86765,0.9899,0.98909,0.71969,1.0957,0.57709,0.98815,0.000429281,0.000429281,0.000429281
38,78.1455,0.88675,0.55408,0.91388,0.85152,0.9899,0.994,0.71312,1.06437,0.57272,0.9633,0.000422678,0.000422678,0.000422678
39,80.1984,0.85612,0.53811,0.91613,0.922,0.97295,0.995,0.71721,1.09524,0.52226,0.97502,0.000416075,0.000416075,0.000416075
40,82.2279,0.86628,0.5421,0.91455,0.94299,0.9625,0.995,0.72076,1.1068,0.53488,0.97494,0.000409471,0.000409471,0.000409471
41,84.2707,0.86072,0.54517,0.90618,0.95092,0.96253,0.995,0.72395,1.06584,0.53756,0.97055,0.000402868,0.000402868,0.000402868
42,86.315,0.84144,0.53275,0.90049,0.96233,0.94617,0.995,0.72683,1.05773,0.52818,0.96017,0.000396265,0.000396265,0.000396265
43,88.3636,0.85575,0.53777,0.92122,0.9538,0.95406,0.995,0.67709,1.21106,0.52025,1.01042,0.000389661,0.000389661,0.000389661
