epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.82534,1.74815,4.36267,1.37495,0.01227,0.18687,0.02971,0.01778,1.51731,4.15609,1.14081,6.003e-05,6.003e-05,6.003e-05
2,4.87304,1.51774,4.03132,1.1543,0.02307,0.51515,0.16257,0.10149,1.39492,3.98896,0.99014,0.000125475,0.000125475,0.000125475
3,6.93558,1.38704,3.55557,1.07432,0.02195,0.56818,0.26684,0.16789,1.39753,3.95746,1.01673,0.0001896,0.0001896,0.0001896
4,9.02286,1.37697,2.93688,1.07612,0.02263,0.62626,0.32258,0.21923,1.31325,3.83443,0.96849,0.000252404,0.000252404,0.000252404
5,11.096,1.36736,2.11969,1.0718,0.02162,0.5303,0.34193,0.23702,1.35197,3.81546,1.04381,0.000313888,0.000313888,0.000313888
6,13.107,1.32473,1.55354,1.07954,0.0263,0.62626,0.45693,0.31931,1.26502,3.65521,0.98625,0.00037405,0.00037405,0.00037405
7,15.1244,1.26274,1.33255,1.06414,0.02574,0.62247,0.52684,0.34401,1.46231,3.46777,1.09265,0.000432892,0.000432892,0.000432892
8,17.1441,1.25932,1.12067,1.06771,0.96762,0.19938,0.64655,0.34891,1.85762,3.29577,1.3043,0.000490414,0.000490414,0.000490414
9,19.1667,1.19599,1.02957,1.03002,0.97883,0.2317,0.79658,0.44844,1.76227,2.69012,1.25571,0.000546615,0.000546615,0.000546615
10,21.1904,1.12095,0.91517,1.01205,0.93542,0.3969,0.86064,0.49302,1.62658,2.16525,1.1667,0.000601495,0.000601495,0.000601495
11,23.2241,1.1454,0.87392,1.03207,0.95229,0.5092,0.9529,0.62101,1.37209,1.94121,1.08497,0.000600967,0.000600967,0.000600967
12,25.2327,1.09933,0.83231,1.00839,0.92156,0.81895,0.98321,0.67651,1.26838,1.51865,1.05255,0.000594364,0.000594364,0.000594364
13,27.2453,1.06714,0.79674,0.99634,0.89428,0.93129,0.991,0.66664,1.24902,1.30057,1.02374,0.00058776,0.00058776,0.00058776
14,29.2609,1.0669,0.76195,0.99342,0.86497,0.98129,0.9886,0.60082,1.34132,1.10853,1.10024,0.000581157,0.000581157,0.000581157
15,31.2689,1.03818,0.74267,0.987,0.93293,0.94944,0.98541,0.6909,1.20161,1.16206,1.04762,0.000574554,0.000574554,0.000574554
16,33.3035,0.994,0.70271,0.97065,0.88687,0.95681,0.98576,0.69785,1.19949,1.08969,1.03472,0.00056795,0.00056795,0.00056795
17,35.3292,1.01212,0.70482,0.97709,0.91152,0.93115,0.98705,0.63599,1.24347,0.84377,1.04602,0.000561347,0.000561347,0.000561347
18,37.3578,1.02682,0.71212,0.98018,0.91281,0.95457,0.98696,0.70758,1.15107,0.73858,1.01637,0.000554744,0.000554744,0.000554744
19,39.3792,1.00468,0.69015,0.97277,0.87875,0.95978,0.98632,0.71004,1.17471,0.74768,1.02557,0.000548141,0.000548141,0.000548141
