epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.88949,1.72939,4.33424,1.36946,0.01042,0.18687,0.05133,0.03103,1.5169,4.15748,1.14417,6.003e-05,6.003e-05,6.003e-05
2,4.95698,1.50234,3.95117,1.1526,0.02992,0.61778,0.16158,0.10487,1.37733,3.99813,0.98453,0.000125475,0.000125475,0.000125475
3,7.04733,1.38345,3.40297,1.08244,0.02032,0.53535,0.30799,0.17561,1.45253,3.96788,1.03547,0.0001896,0.0001896,0.0001896
4,9.1519,1.35835,2.83166,1.07262,0.02844,0.62572,0.2825,0.16913,1.34402,3.87019,0.98178,0.000252404,0.000252404,0.000252404
5,11.2266,1.36024,2.17172,1.09427,0.03042,0.63005,0.3475,0.21617,1.38716,3.82249,1.03567,0.000313888,0.000313888,0.000313888
6,13.2657,1.33578,1.71186,1.11448,0.02988,0.67965,0.46418,0.28973,1.31358,3.56509,1.02941,0.00037405,0.00037405,0.00037405
7,15.3128,1.27457,1.46869,1.0976,0.99217,0.12729,0.5376,0.35319,1.3793,3.39032,1.09238,0.000432892,0.000432892,0.000432892
8,17.3649,1.24093,1.19179,1.09453,0.95914,0.22196,0.70987,0.40297,1.66009,2.93421,1.18678,0.000490414,0.000490414,0.000490414
9,19.4159,1.18576,1.07357,1.05322,0.97448,0.39104,0.84092,0.55302,1.24003,2.41564,1.05524,0.000546615,0.000546615,0.000546615
10,21.4579,1.13701,0.97972,1.03916,0.94639,0.52848,0.88189,0.61747,1.18313,2.0471,1.06402,0.000601495,0.000601495,0.000601495
11,23.5025,1.11592,0.90174,1.04374,0.93128,0.66123,0.95029,0.65273,1.1444,1.79173,1.05337,0.000600967,0.000600967,0.000600967
12,25.5505,1.12316,0.87626,1.03883,0.91194,0.65781,0.95576,0.66005,1.16777,1.48198,1.04824,0.000594364,0.000594364,0.000594364
13,27.5859,1.07398,0.81882,1.02249,0.86557,0.9596,0.97458,0.66988,1.2111,1.13199,1.04355,0.00058776,0.00058776,0.00058776
14,29.627,1.08134,0.78366,1.0166,0.85228,0.97813,0.98562,0.68719,1.11211,1.06649,1.0113,0.000581157,0.000581157,0.000581157
15,31.7148,1.05535,0.76918,1.00891,0.8832,0.95419,0.98496,0.6918,1.11475,0.84871,1.02034,0.000574554,0.000574554,0.000574554
16,33.7674,0.99432,0.71401,0.98156,0.89398,0.98372,0.995,0.67868,1.21193,0.77056,1.02832,0.00056795,0.00056795,0.00056795
17,35.8085,1.00819,0.70734,0.99192,0.91868,0.95716,0.991,0.63085,1.26595,0.76176,1.08026,0.000561347,0.000561347,0.000561347
18,37.8557,1.02544,0.71147,0.99723,0.9336,0.97247,0.98605,0.65565,1.24105,0.66368,1.06876,0.000554744,0.000554744,0.000554744
19,39.8934,0.98886,0.68756,0.97628,0.90026,0.97399,0.98549,0.68519,1.19739,0.68286,1.05499,0.000548141,0.000548141,0.000548141
20,41.9458,0.96131,0.66605,0.97045,0.9251,0.97918,0.9862,0.70536,1.09375,0.64927,1.02195,0.000541537,0.000541537,0.000541537
21,44.0003,0.98053,0.66945,0.9758,0.93177,0.9899,0.98638,0.7127,1.09149,0.65054,1.00294,0.000534934,0.000534934,0.000534934
22,46.0592,0.95779,0.64524,0.9772,0.9101,0.98456,0.98645,0.71595,1.10489,0.65471,1.03921,0.000528331,0.000528331,0.000528331
23,48.1266,0.94805,0.64353,0.96881,0.94951,0.98679,0.98558,0.68303,1.09769,0.62109,1.02561,0.000521727,0.000521727,0.000521727
24,50.1876,0.94049,0.63967,0.96677,0.94947,0.98566,0.98875,0.70716,1.10842,0.61115,1.0194,0.000515124,0.000515124,0.000515124
25,52.2346,0.94495,0.63968,0.96123,0.94271,0.98446,0.99062,0.69211,1.17267,0.61102,1.07803,0.000508521,0.000508521,0.000508521
26,54.3047,0.91348,0.61213,0.9591,0.92147,0.9899,0.991,0.72042,1.10634,0.64576,1.06205,0.000501917,0.000501917,0.000501917
27,56.3846,0.95863,0.6215,0.97357,0.93664,0.98032,0.994,0.70249,1.11694,0.61712,1.04584,0.000495314,0.000495314,0.000495314
28,58.466,0.90164,0.60914,0.95702,0.93169,1,0.995,0.71002,1.11132,0.56974,1.01185,0.000488711,0.000488711,0.000488711
29,60.5579,0.9035,0.60877,0.95964,0.94593,0.97746,0.995,0.70719,1.1243,0.56682,1.01369,0.000482108,0.000482108,0.000482108
30,62.6489,0.90351,0.60077,0.95374,0.96848,0.95946,0.995,0.71154,1.12662,0.57999,1.03378,0.000475504,0.000475504,0.000475504
31,64.753,0.89179,0.58826,0.95819,0.96484,0.97654,0.995,0.72309,1.05829,0.56094,1.01749,0.000468901,0.000468901,0.000468901
32,66.8648,0.8989,0.59952,0.95096,0.95711,0.97083,0.995,0.66589,1.26583,0.59502,1.12635,0.000462298,0.000462298,0.000462298
33,68.9766,0.92765,0.59392,0.95539,0.95521,0.96653,0.995,0.69942,1.16459,0.57548,1.06409,0.000455694,0.000455694,0.000455694
34,71.0683,0.89969,0.58887,0.96549,0.95038,0.98498,0.995,0.63481,1.30103,0.56769,1.12817,0.000449091,0.000449091,0.000449091
35,73.1968,0.91632,0.59704,0.95313,0.97032,0.96275,0.9879,0.7169,1.10065,0.55631,1.04795,0.000442488,0.000442488,0.000442488
36,75.3493,0.89579,0.57611,0.96144,0.97492,0.98761,0.995,0.70705,1.13913,0.56522,1.04289,0.000435884,0.000435884,0.000435884
37,77.5148,0.87508,0.57161,0.94449,0.94756,0.97597,0.98929,0.71244,1.11874,0.59586,1.03641,0.000429281,0.000429281,0.000429281
