epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.12764,1.91786,4.43463,1.4598,0.00219,0.09091,0.00724,0.00362,1.66192,4.21945,1.29453,6.67e-06,6.67e-06,6.67e-06
2,1.45516,1.8906,4.45207,1.50926,0.002,0.09091,0.00464,0.00232,1.63282,4.21447,1.27797,1.98119e-05,1.98119e-05,1.98119e-05
3,1.78647,1.75288,4.41666,1.36681,0.00202,0.09091,0.00515,0.00309,1.55733,4.19798,1.23141,3.26897e-05,3.26897e-05,3.26897e-05
4,2.12841,1.64488,4.32671,1.30448,0.00186,0.09091,0.0032,0.00224,1.47956,4.19518,1.18307,4.53033e-05,4.53033e-05,4.53033e-05
5,2.57178,1.59586,4.29464,1.23675,0.00191,0.09091,0.00283,0.00206,1.37744,4.17444,1.12452,5.76528e-05,5.76528e-05,5.76528e-05
6,2.90827,1.51157,4.26939,1.16025,0.06377,0.20202,0.04627,0.03685,1.3084,4.16019,1.07451,6.97382e-05,6.97382e-05,6.97382e-05
7,3.2603,1.44909,4.07086,1.1296,0.03035,0.21212,0.05359,0.04291,1.25199,4.09745,1.00396,8.15594e-05,8.15594e-05,8.15594e-05
8,3.58931,1.35807,4.06214,1.10016,0.02196,0.23232,0.12915,0.10004,1.20653,4.07983,0.98842,9.31165e-05,9.31165e-05,9.31165e-05
9,3.91233,1.36344,4.01121,1.06069,0.01751,0.27778,0.10327,0.08189,1.19007,4.0863,0.98628,0.00010441,0.00010441,0.00010441
10,4.22384,1.34745,3.96646,1.03949,0.01607,0.32323,0.1313,0.10817,1.15559,4.07773,0.97294,0.000115438,0.000115438,0.000115438
11,4.54862,1.36476,3.92396,1.05018,0.03843,0.49405,0.1866,0.14902,1.14641,4.07407,0.97612,0.000126203,0.000126203,0.000126203
12,4.86369,1.30167,3.9077,1.01566,0.03845,0.49242,0.22386,0.17406,1.12429,4.05676,0.96277,0.000136704,0.000136704,0.000136704
13,5.17606,1.3048,3.83592,1.03126,0.03765,0.51263,0.20992,0.16298,1.12447,4.03547,0.94882,0.00014694,0.00014694,0.00014694
14,5.47826,1.27491,3.74388,1.02114,0.03563,0.51263,0.24645,0.18629,1.09636,4.00161,0.92273,0.000156912,0.000156912,0.000156912
15,5.88093,1.24163,3.71105,1.02955,0.03577,0.54419,0.25805,0.19551,1.08498,3.96365,0.90276,0.000166621,0.000166621,0.000166621
16,6.19128,1.22326,3.64941,1.02866,0.03672,0.55556,0.27982,0.20581,1.0888,3.9558,0.90034,0.000176065,0.000176065,0.000176065
17,6.51818,1.27617,3.56593,0.98237,0.03879,0.56566,0.28381,0.21517,1.10845,3.94328,0.90075,0.000185245,0.000185245,0.000185245
18,6.82936,1.24564,3.55282,0.98358,0.03707,0.56566,0.28849,0.22052,1.09147,3.92558,0.89743,0.00019416,0.00019416,0.00019416
19,7.13814,1.20931,3.43508,1.00608,0.03394,0.56566,0.31617,0.24341,1.04288,3.90327,0.88203,0.000202812,0.000202812,0.000202812
20,7.45935,1.19952,3.27005,0.97878,0.03403,0.57864,0.32088,0.23904,1.0403,3.89102,0.88121,0.0002112,0.0002112,0.0002112
21,7.75892,1.17048,3.20804,0.9907,0.03341,0.57864,0.32135,0.23516,1.056,3.8687,0.88318,0.000219323,0.000219323,0.000219323
22,8.05492,1.19016,3.21835,0.99169,0.03313,0.53319,0.31839,0.23487,1.05485,3.85932,0.8825,0.000227182,0.000227182,0.000227182
23,8.36532,1.18757,3.18089,0.97514,0.03227,0.53319,0.31894,0.23362,1.04038,3.83424,0.87757,0.000234777,0.000234777,0.000234777
24,8.68057,1.24993,2.99413,1.01227,0.0373,0.55592,0.32687,0.22969,1.04514,3.8163,0.88042,0.000242108,0.000242108,0.000242108
25,9.00128,1.20261,2.91426,1.01369,0.04307,0.61273,0.33684,0.23003,1.08585,3.81876,0.89853,0.000249175,0.000249175,0.000249175
26,9.44224,1.15041,2.83414,0.98954,0.04263,0.614,0.33736,0.23784,1.08565,3.80681,0.90457,0.000255978,0.000255978,0.000255978
27,9.76245,1.14516,2.6266,1.03217,0.04249,0.6443,0.34026,0.24486,1.09725,3.73781,0.90759,0.000262517,0.000262517,0.000262517
28,10.0912,1.22378,2.68063,0.99424,0.04249,0.6443,0.34026,0.24486,1.09725,3.73781,0.90759,0.000268791,0.000268791,0.000268791
29,10.4308,1.1957,2.61361,1.00772,0.03877,0.6746,0.39063,0.29874,1.07498,3.66462,0.90824,0.000274801,0.000274801,0.000274801
30,10.7626,1.19184,2.64555,0.97494,0.03748,0.6847,0.42353,0.31583,1.08364,3.59107,0.917,0.000280548,0.000280548,0.000280548
31,11.093,1.18624,2.45663,0.99073,0.03748,0.6847,0.42353,0.31583,1.08364,3.59107,0.917,0.00028603,0.00028603,0.00028603
32,11.4118,1.22229,2.28392,1.00634,0.03715,0.69769,0.45359,0.34515,1.09418,3.52119,0.92383,0.000291248,0.000291248,0.000291248
33,11.7265,1.21382,2.25744,1.0129,0.97228,0.2468,0.48528,0.36055,1.10772,3.45044,0.93381,0.000296201,0.000296201,0.000296201
34,12.0362,1.22377,2.22729,0.98439,0.97228,0.2468,0.48528,0.36055,1.10772,3.45044,0.93381,0.000300891,0.000300891,0.000300891
35,12.3582,1.16745,2.12441,0.99288,0.9827,0.09091,0.51758,0.38235,1.11004,3.35749,0.94122,0.000305317,0.000305317,0.000305317
36,12.8013,1.18355,2.03098,1.00541,0.9774,0.09091,0.5643,0.40984,1.09931,3.23626,0.94097,0.000309478,0.000309478,0.000309478
37,13.1086,1.18149,1.85845,0.97531,0.9774,0.09091,0.5643,0.40984,1.09931,3.23626,0.94097,0.000313375,0.000313375,0.000313375
38,13.4444,1.12962,1.86373,0.96759,0.97493,0.20491,0.61836,0.44546,1.12506,3.13169,0.94994,0.000317008,0.000317008,0.000317008
39,13.7656,1.1841,1.8734,0.96628,0.97005,0.26493,0.63937,0.46123,1.16157,3.02587,0.96845,0.000320377,0.000320377,0.000320377
40,14.0831,1.1668,1.68972,1.01043,0.97005,0.26493,0.63937,0.46123,1.16157,3.02587,0.96845,0.000323482,0.000323482,0.000323482
41,14.3955,1.14883,1.68989,0.97288,0.96315,0.28718,0.64256,0.4618,1.13268,2.92259,0.95699,0.000326323,0.000326323,0.000326323
42,14.7141,1.13316,1.5053,1.03232,0.96033,0.2903,0.64999,0.48378,1.12046,2.84472,0.96596,0.0003289,0.0003289,0.0003289
43,15.0324,1.21945,1.59473,0.99009,0.96033,0.2903,0.64999,0.48378,1.12046,2.84472,0.96596,0.000331212,0.000331212,0.000331212
44,15.3619,1.20657,1.56301,1.00042,0.95984,0.33972,0.6937,0.50991,1.13092,2.73894,0.98037,0.000333261,0.000333261,0.000333261
45,15.6831,1.19732,1.57074,1.01325,0.95984,0.33972,0.6937,0.50991,1.13092,2.73894,0.98037,0.000335045,0.000335045,0.000335045
46,16.1173,1.22559,1.5293,0.99965,0.96023,0.37368,0.74903,0.54098,1.14483,2.6362,0.9829,0.000336565,0.000336565,0.000336565
47,16.4273,1.08552,1.3332,0.99953,0.96023,0.37368,0.74903,0.54098,1.14483,2.6362,0.9829,0.000337821,0.000337821,0.000337821
48,16.7417,1.17803,1.53277,0.96544,0.95187,0.41144,0.77826,0.56176,1.15771,2.53493,0.98796,0.000338813,0.000338813,0.000338813
49,17.0505,1.13494,1.34015,1.01145,0.95187,0.41144,0.77826,0.56176,1.15771,2.53493,0.98796,0.00033954,0.00033954,0.00033954
50,17.3699,1.12666,1.25942,1.00287,0.94353,0.4516,0.79486,0.57215,1.15481,2.43351,0.98945,0.000340004,0.000340004,0.000340004
51,17.6907,1.11953,1.29523,1.00373,0.94353,0.4516,0.79486,0.57215,1.15481,2.43351,0.98945,0.000336835,0.000336835,0.000336835
52,18.0337,1.14026,1.34402,0.98079,0.93823,0.47178,0.85961,0.60963,1.15295,2.31362,0.99416,0.000330232,0.000330232,0.000330232
53,18.3654,1.08728,1.24223,0.96912,0.93823,0.47178,0.85961,0.60963,1.15295,2.31362,0.99416,0.000323628,0.000323628,0.000323628
54,18.6957,1.1507,1.2573,0.97327,0.93497,0.54756,0.93986,0.66635,1.14807,2.13375,0.98733,0.000317025,0.000317025,0.000317025
55,19.0289,1.12258,1.24315,0.96486,0.93497,0.54756,0.93986,0.66635,1.14807,2.13375,0.98733,0.000310422,0.000310422,0.000310422
56,19.4672,1.10162,1.16847,0.99482,0.89777,0.69023,0.94199,0.67556,1.15915,1.9322,0.99891,0.000303818,0.000303818,0.000303818
57,19.7869,1.09523,1.16849,0.97598,0.89777,0.69023,0.94199,0.67556,1.15915,1.9322,0.99891,0.000297215,0.000297215,0.000297215
58,20.1168,1.08653,1.28336,0.98264,0.86296,0.82099,0.94688,0.68794,1.17716,1.75789,1.00739,0.000290612,0.000290612,0.000290612
59,20.4533,1.13084,1.29934,0.95414,0.86296,0.82099,0.94688,0.68794,1.17716,1.75789,1.00739,0.000284009,0.000284009,0.000284009
60,20.7929,1.10075,1.31584,0.95371,0.83679,0.82655,0.95373,0.70902,1.13842,1.58179,0.99026,0.000277405,0.000277405,0.000277405
61,21.1076,1.07554,1.06161,0.9776,0.83679,0.82655,0.95373,0.70902,1.13842,1.58179,0.99026,0.000270802,0.000270802,0.000270802
62,21.4333,1.07541,1.13963,0.94217,0.90257,0.7978,0.98288,0.72553,1.09119,1.42042,0.97264,0.000264199,0.000264199,0.000264199
63,21.7572,1.05385,1.07339,0.96858,0.90257,0.7978,0.98288,0.72553,1.09119,1.42042,0.97264,0.000257595,0.000257595,0.000257595
64,22.0846,1.06451,1.07197,0.97453,0.91742,0.79117,0.98351,0.70483,1.07015,1.30043,0.9646,0.000250992,0.000250992,0.000250992
65,22.3843,1.04253,1.07921,0.96584,0.91742,0.79117,0.98351,0.70483,1.07015,1.30043,0.9646,0.000244389,0.000244389,0.000244389
66,22.7969,1.08287,1.10291,0.94539,0.82287,0.88291,0.98368,0.69795,1.08786,1.20757,0.97281,0.000237785,0.000237785,0.000237785
67,23.0968,1.08029,1.04174,0.97118,0.82287,0.88291,0.98368,0.69795,1.08786,1.20757,0.97281,0.000231182,0.000231182,0.000231182
68,23.4173,1.05877,1.0417,0.93963,0.81682,0.88558,0.98385,0.70127,1.08557,1.11097,0.97627,0.000224579,0.000224579,0.000224579
69,23.72,1.05017,0.95645,0.97561,0.81682,0.88558,0.98385,0.70127,1.08557,1.11097,0.97627,0.000217976,0.000217976,0.000217976
70,24.0397,1.05003,1.04217,0.94495,0.80448,0.94839,0.98491,0.71646,1.05343,1.01988,0.97307,0.000211372,0.000211372,0.000211372
71,24.3411,1.02447,0.97697,0.93325,0.80448,0.94839,0.98491,0.71646,1.05343,1.01988,0.97307,0.000204769,0.000204769,0.000204769
72,24.6817,0.99011,1.00195,0.96203,0.7911,0.97179,0.98643,0.7228,1.03406,0.94372,0.97447,0.000198166,0.000198166,0.000198166
73,25.0066,0.99506,0.98821,0.94662,0.7911,0.97179,0.98643,0.7228,1.03406,0.94372,0.97447,0.000191562,0.000191562,0.000191562
74,25.3484,0.99737,0.96253,0.94329,0.8158,0.96521,0.98636,0.73533,1.0401,0.8885,0.97472,0.000184959,0.000184959,0.000184959
75,25.6796,1.04486,0.9216,0.98815,0.8158,0.96521,0.98636,0.73533,1.0401,0.8885,0.97472,0.000178356,0.000178356,0.000178356
76,26.0347,1.00221,0.95529,0.95954,0.82854,0.96858,0.98638,0.72591,1.04147,0.83375,0.97483,0.000171752,0.000171752,0.000171752
77,26.4829,0.99113,0.97051,0.94176,0.82854,0.96858,0.98638,0.72591,1.04147,0.83375,0.97483,0.000165149,0.000165149,0.000165149
78,26.8096,1.02761,0.92932,0.95075,0.83796,0.97608,0.98636,0.72768,1.05051,0.79887,0.9763,0.000158546,0.000158546,0.000158546
79,27.1379,1.0076,0.92675,0.96285,0.83796,0.97608,0.98636,0.72768,1.05051,0.79887,0.9763,0.000151943,0.000151943,0.000151943
80,27.4662,0.99161,0.94514,0.95056,0.84926,0.98511,0.98634,0.70338,1.06377,0.77867,0.97885,0.000145339,0.000145339,0.000145339
