epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.1963,1.64313,4.20845,1.28279,0.03483,0.36742,0.06599,0.04185,1.41077,4.00247,0.98775,0.00012006,0.00012006,0.00012006
2,5.14086,1.44404,3.565,1.10108,0.03571,0.64304,0.36789,0.21008,1.438,4.05455,1.08072,0.000244347,0.000244347,0.000244347
3,7.12442,1.4286,2.72334,1.09256,0.03225,0.62753,0.40082,0.23757,1.35524,3.67797,0.99546,0.000366124,0.000366124,0.000366124
4,9.17443,1.37357,1.94711,1.07423,0.87711,0.27687,0.5947,0.35964,1.39825,3.15666,1.04363,0.000485393,0.000485393,0.000485393
5,11.1151,1.32482,1.43397,1.05484,0.9605,0.2576,0.76013,0.47861,1.31737,3.01846,1.01496,0.000602152,0.000602152,0.000602152
6,13.0433,1.24963,1.19834,1.03577,0.95364,0.47823,0.89482,0.59089,1.28616,2.18878,1.01388,0.000633983,0.000633983,0.000633983
7,14.9747,1.21935,1.05814,1.02593,0.82724,0.92522,0.92829,0.62486,1.26171,1.30265,1.01667,0.00062738,0.00062738,0.00062738
8,16.9047,1.16809,0.9495,0.99942,0.93152,0.88209,0.98605,0.65084,1.28734,0.9478,1.01112,0.000620777,0.000620777,0.000620777
9,18.8276,1.12205,0.8759,0.99476,0.79348,0.97203,0.98439,0.65182,1.25966,0.9308,1.01696,0.000614174,0.000614174,0.000614174
10,20.7681,1.11831,0.82863,0.99717,0.92095,0.95088,0.98533,0.6656,1.28433,0.79194,1.02179,0.00060757,0.00060757,0.00060757
11,22.7203,1.09624,0.7966,0.98796,0.92211,0.97205,0.98579,0.6911,1.19796,0.71991,1.00155,0.000600967,0.000600967,0.000600967
12,24.6591,1.06982,0.76835,0.98628,0.95493,0.993,0.995,0.61751,1.34378,0.71139,1.06059,0.000594364,0.000594364,0.000594364
13,26.5918,1.04985,0.74199,0.97948,0.91631,0.9899,0.98833,0.69424,1.1576,0.69519,0.98952,0.00058776,0.00058776,0.00058776
14,28.5475,1.03035,0.72898,0.96746,0.8944,0.9899,0.98737,0.68302,1.19992,0.75798,1.00185,0.000581157,0.000581157,0.000581157
15,30.5709,1.0243,0.70389,0.96827,0.95912,0.99054,0.995,0.6778,1.13629,0.6236,0.97813,0.000574554,0.000574554,0.000574554
16,32.5015,1.00428,0.68874,0.96231,0.93554,0.9973,0.995,0.68603,1.1421,0.61126,0.98491,0.00056795,0.00056795,0.00056795
17,34.4121,1.00885,0.68986,0.96449,0.94167,0.98995,0.995,0.70388,1.12626,0.61191,0.96945,0.000561347,0.000561347,0.000561347
18,36.3623,0.98682,0.67094,0.94767,0.95972,0.96583,0.995,0.70379,1.12965,0.61178,0.96862,0.000554744,0.000554744,0.000554744
19,38.2977,0.95893,0.65508,0.95261,0.9508,0.98567,0.99143,0.65734,1.21359,0.63628,1.00383,0.000548141,0.000548141,0.000548141
20,40.2389,0.99355,0.66754,0.96106,0.95983,0.98534,0.995,0.68552,1.14031,0.56234,0.9784,0.000541537,0.000541537,0.000541537
21,42.1728,0.96016,0.64975,0.94727,0.94915,0.99252,0.995,0.70338,1.15927,0.59529,0.99797,0.000534934,0.000534934,0.000534934
22,44.1117,0.95981,0.63978,0.94328,0.94711,0.98662,0.995,0.69699,1.12156,0.61063,0.98556,0.000528331,0.000528331,0.000528331
23,46.0539,0.96567,0.63803,0.95798,0.94632,0.98313,0.99318,0.70231,1.11926,0.61744,0.98665,0.000521727,0.000521727,0.000521727
24,48.1204,0.94004,0.62333,0.94548,0.96543,0.96775,0.995,0.70851,1.10886,0.5563,0.96773,0.000515124,0.000515124,0.000515124
25,50.0681,0.92101,0.6111,0.93453,0.96601,0.9901,0.995,0.7171,1.11822,0.56225,0.97546,0.000508521,0.000508521,0.000508521
26,52.0328,0.90842,0.60966,0.93146,0.96333,0.98227,0.994,0.7258,1.10858,0.54989,0.97267,0.000501917,0.000501917,0.000501917
27,53.9823,0.94702,0.61518,0.94075,0.95607,0.96583,0.99,0.68863,1.18074,0.62499,1.02884,0.000495314,0.000495314,0.000495314
28,55.9265,0.94122,0.60882,0.93593,0.96013,0.95806,0.991,0.70037,1.14375,0.59489,0.99298,0.000488711,0.000488711,0.000488711
29,57.8832,0.92667,0.59863,0.93608,0.96543,0.96196,0.98891,0.70859,1.11828,0.56387,0.98122,0.000482108,0.000482108,0.000482108
30,59.8459,0.90762,0.59049,0.93299,0.96617,0.95457,0.991,0.70787,1.1001,0.55449,0.98652,0.000475504,0.000475504,0.000475504
31,61.7898,0.88618,0.5779,0.92699,0.96069,0.95944,0.995,0.67691,1.1533,0.59155,1.011,0.000468901,0.000468901,0.000468901
32,63.7681,0.89961,0.57853,0.93817,0.95102,0.97516,0.995,0.68986,1.1584,0.57408,1.00981,0.000462298,0.000462298,0.000462298
33,65.6936,0.88045,0.57448,0.9245,0.9561,0.97506,0.995,0.71536,1.12822,0.56273,0.99208,0.000455694,0.000455694,0.000455694
34,67.6451,0.89402,0.58268,0.92404,0.9565,0.96868,0.995,0.73042,1.02882,0.5192,0.96301,0.000449091,0.000449091,0.000449091
35,69.715,0.88364,0.571,0.9206,0.97315,0.96789,0.995,0.73339,1.08356,0.52951,0.98506,0.000442488,0.000442488,0.000442488
36,71.6746,0.86755,0.56491,0.91802,0.97428,0.95934,0.995,0.71207,1.09108,0.52092,0.97941,0.000435884,0.000435884,0.000435884
37,73.6259,0.88654,0.57818,0.92469,0.96669,0.96051,0.995,0.72137,1.04891,0.523,0.96172,0.000429281,0.000429281,0.000429281
38,75.574,0.89625,0.56925,0.91873,0.97036,0.94911,0.99029,0.71295,1.06101,0.5596,0.98986,0.000422678,0.000422678,0.000422678
39,77.5292,0.85017,0.56006,0.9131,0.91434,0.95212,0.99318,0.69365,1.12461,0.55401,0.99239,0.000416075,0.000416075,0.000416075
40,79.4818,0.85996,0.56165,0.9137,0.96272,0.95815,0.995,0.70163,1.1221,0.53842,0.99232,0.000409471,0.000409471,0.000409471
41,81.4286,0.83998,0.54078,0.90825,0.95694,0.95878,0.994,0.70796,1.13334,0.55724,0.99111,0.000402868,0.000402868,0.000402868
42,83.395,0.86492,0.55564,0.92147,0.96521,0.99159,0.995,0.71479,1.13241,0.5202,0.99449,0.000396265,0.000396265,0.000396265
43,85.3719,0.87648,0.54469,0.92428,0.97437,0.99151,0.995,0.69911,1.11506,0.51603,0.99621,0.000389661,0.000389661,0.000389661
44,87.4399,0.83816,0.53507,0.90854,0.96906,0.97158,0.995,0.7136,1.09223,0.50602,0.99207,0.000383058,0.000383058,0.000383058
45,89.38,0.85911,0.53469,0.91825,0.96391,0.99317,0.995,0.72445,1.11872,0.49916,0.98393,0.000376455,0.000376455,0.000376455
46,91.3464,0.8605,0.53796,0.9125,0.97459,0.99201,0.995,0.74233,1.08381,0.48815,0.97856,0.000369851,0.000369851,0.000369851
47,93.3124,0.79885,0.5146,0.9125,0.96676,0.97996,0.995,0.72935,1.09546,0.50312,0.97784,0.000363248,0.000363248,0.000363248
48,95.2745,0.8023,0.51913,0.90326,0.97078,0.96311,0.995,0.72768,1.06306,0.5058,0.97665,0.000356645,0.000356645,0.000356645
49,97.2222,0.80725,0.51513,0.89759,0.94268,0.98327,0.99318,0.71514,1.10742,0.52337,1.0003,0.000350042,0.000350042,0.000350042
50,99.1916,0.79791,0.51782,0.89785,0.97267,0.96306,0.994,0.72583,1.06713,0.50946,0.98344,0.000343438,0.000343438,0.000343438
51,101.164,0.79235,0.51222,0.90043,0.9792,0.95177,0.994,0.74143,1.06333,0.50007,0.97968,0.000336835,0.000336835,0.000336835
