epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,86.8904,0.82614,0.5288,0.90355,0.95084,0.97191,0.995,0.74618,1.02902,0.50627,0.95529,0.000531632,0.000531632,0.000531632
43,88.9611,0.83432,0.52925,0.91906,0.9689,0.98705,0.995,0.70872,1.11959,0.49381,0.98291,0.000528331,0.000528331,0.000528331
44,91.0179,0.83991,0.53468,0.90952,0.95911,0.9867,0.995,0.69834,1.14681,0.49554,1.00599,0.000525029,0.000525029,0.000525029
45,93.0782,0.82872,0.53195,0.91228,0.957,0.99684,0.995,0.71904,1.10258,0.49285,0.98612,0.000521727,0.000521727,0.000521727
46,95.1273,0.82217,0.52448,0.91201,0.9722,0.9923,0.995,0.71454,1.0797,0.49721,0.99424,0.000518426,0.000518426,0.000518426
47,97.1935,0.83245,0.52282,0.91092,0.96331,0.98409,0.995,0.67182,1.2356,0.49645,1.04001,0.000515124,0.000515124,0.000515124
48,99.2623,0.84321,0.52476,0.91313,0.97069,0.97826,0.995,0.66979,1.24559,0.501,1.04167,0.000511822,0.000511822,0.000511822
49,101.33,0.8311,0.52745,0.9125,0.95385,0.98886,0.995,0.73165,1.06301,0.46894,0.97197,0.000508521,0.000508521,0.000508521
50,103.409,0.82727,0.51218,0.9034,0.9583,0.99115,0.995,0.73294,1.0836,0.48102,0.97954,0.000505219,0.000505219,0.000505219
51,105.51,0.83335,0.51819,0.91191,0.96566,0.98224,0.995,0.71336,1.08343,0.48298,1.00204,0.000501917,0.000501917,0.000501917
52,107.588,0.81724,0.51042,0.9066,0.94804,0.98246,0.995,0.71226,1.12096,0.49445,1.01309,0.000498616,0.000498616,0.000498616
53,109.677,0.81215,0.50353,0.89972,0.96967,0.97114,0.995,0.71657,1.07577,0.48947,1.00205,0.000495314,0.000495314,0.000495314
54,111.752,0.77129,0.49465,0.89598,0.95393,0.95373,0.99318,0.71678,1.08391,0.48985,0.98911,0.000492013,0.000492013,0.000492013
55,113.884,0.75735,0.48956,0.89545,0.94575,0.97839,0.995,0.69653,1.13069,0.51148,1.00333,0.000488711,0.000488711,0.000488711
56,116.013,0.75603,0.48144,0.8934,0.95466,0.9722,0.9925,0.72835,1.05426,0.49551,0.97405,0.000485409,0.000485409,0.000485409
57,118.137,0.77887,0.49084,0.88851,0.96711,0.97725,0.994,0.71217,1.08201,0.49812,0.99353,0.000482108,0.000482108,0.000482108
58,120.229,0.76254,0.49279,0.88841,0.97406,0.98939,0.995,0.6885,1.17803,0.47209,1.03428,0.000478806,0.000478806,0.000478806
59,122.352,0.77403,0.48822,0.89115,0.97007,0.98863,0.995,0.69401,1.12545,0.47624,1.003,0.000475504,0.000475504,0.000475504
60,124.484,0.7525,0.48375,0.88476,0.96932,0.99126,0.995,0.70696,1.07668,0.46803,0.9851,0.000472203,0.000472203,0.000472203
61,126.626,0.72858,0.4732,0.88387,0.954,0.98338,0.995,0.69802,1.13782,0.48632,1.00226,0.000468901,0.000468901,0.000468901
62,128.759,0.72969,0.47324,0.88454,0.94897,0.97353,0.995,0.70943,1.07889,0.47084,0.98542,0.000465599,0.000465599,0.000465599
63,130.905,0.73673,0.47282,0.88076,0.97436,0.95882,0.99143,0.71104,1.08567,0.4812,0.99752,0.000462298,0.000462298,0.000462298
64,133.05,0.74794,0.4812,0.88888,0.9337,0.9899,0.9886,0.70706,1.08792,0.49096,0.98549,0.000458996,0.000458996,0.000458996
65,135.164,0.73925,0.4697,0.8859,0.96932,0.99116,0.995,0.7107,1.11761,0.47724,1.00268,0.000455694,0.000455694,0.000455694
66,137.353,0.75067,0.47505,0.88402,0.96637,0.98633,0.995,0.70966,1.12297,0.48239,1.00718,0.000452393,0.000452393,0.000452393
67,139.487,0.72505,0.45817,0.87582,0.97433,0.99083,0.995,0.69706,1.11043,0.45505,1.0155,0.000449091,0.000449091,0.000449091
68,141.627,0.73468,0.46938,0.88067,0.94708,0.9899,0.99192,0.71847,1.10942,0.47763,1.01466,0.000445789,0.000445789,0.000445789
69,143.78,0.70166,0.45685,0.88036,0.96324,0.98358,0.99318,0.72883,1.07732,0.46714,0.99781,0.000442488,0.000442488,0.000442488
70,145.968,0.72412,0.46079,0.88095,0.96822,0.9788,0.995,0.70805,1.07321,0.46576,0.98923,0.000439186,0.000439186,0.000439186
71,148.15,0.69438,0.45061,0.87985,0.94922,0.99286,0.995,0.69197,1.13593,0.49059,0.99657,0.000435884,0.000435884,0.000435884
72,150.303,0.70275,0.46204,0.87346,0.96809,0.9899,0.994,0.71407,1.0825,0.48939,0.99477,0.000432583,0.000432583,0.000432583
73,152.463,0.71716,0.45417,0.87181,0.96719,0.9914,0.995,0.73518,1.08438,0.47304,0.98504,0.000429281,0.000429281,0.000429281
74,154.63,0.69068,0.44872,0.87171,0.96596,0.97106,0.99143,0.70194,1.08546,0.48579,0.98541,0.00042598,0.00042598,0.00042598
75,156.823,0.69862,0.44695,0.86739,0.95872,0.97853,0.995,0.71339,1.10469,0.45217,0.994,0.000422678,0.000422678,0.000422678
76,159.002,0.66886,0.43767,0.87147,0.96144,0.97923,0.995,0.7014,1.15517,0.47514,1.0218,0.000419376,0.000419376,0.000419376
77,161.177,0.67118,0.43569,0.87188,0.95739,0.99392,0.995,0.71936,1.15158,0.45802,1.00744,0.000416075,0.000416075,0.000416075
78,163.387,0.67735,0.43463,0.86968,0.97329,0.96049,0.995,0.7268,1.09506,0.46822,0.99829,0.000412773,0.000412773,0.000412773
79,165.561,0.67676,0.43669,0.87089,0.96888,0.97383,0.995,0.72351,1.06979,0.4545,0.99547,0.000409471,0.000409471,0.000409471
80,167.728,0.64223,0.43026,0.86082,0.96366,0.96779,0.995,0.74032,1.04471,0.4721,0.99586,0.00040617,0.00040617,0.00040617
81,169.933,0.6408,0.42567,0.85855,0.96574,0.96835,0.995,0.72278,1.09995,0.46619,1.01296,0.000402868,0.000402868,0.000402868
82,172.106,0.66265,0.43326,0.86997,0.96346,0.98378,0.995,0.70425,1.12771,0.46787,1.02484,0.000399566,0.000399566,0.000399566
83,174.275,0.65526,0.43631,0.86738,0.97072,0.96023,0.995,0.70552,1.14715,0.46654,1.03548,0.000396265,0.000396265,0.000396265
84,176.478,0.65684,0.434,0.86112,0.97674,0.95851,0.995,0.72749,1.05083,0.44425,1.00184,0.000392963,0.000392963,0.000392963
85,178.682,0.65804,0.43045,0.86611,0.97267,0.97138,0.995,0.70636,1.12226,0.47365,1.01362,0.000389661,0.000389661,0.000389661
86,180.879,0.6416,0.42567,0.8608,0.97507,0.99781,0.995,0.70153,1.11293,0.45665,1.00926,0.00038636,0.00038636,0.00038636
87,183.061,0.63762,0.42425,0.85652,0.96451,0.99185,0.995,0.70499,1.12748,0.45762,1.00894,0.000383058,0.000383058,0.000383058
88,185.252,0.6327,0.41724,0.87226,0.96661,0.98118,0.995,0.71119,1.13032,0.48421,1.00977,0.000379756,0.000379756,0.000379756
89,187.457,0.62721,0.42442,0.85653,0.96897,0.96764,0.995,0.73245,1.05725,0.47081,1.00896,0.000376455,0.000376455,0.000376455
90,189.631,0.64689,0.42488,0.8659,0.96744,0.9854,0.995,0.70499,1.07193,0.46484,0.99969,0.000373153,0.000373153,0.000373153
91,191.85,0.63124,0.42149,0.85737,0.95426,0.97266,0.995,0.71243,1.07376,0.45435,1.00102,0.000369851,0.000369851,0.000369851
92,194.025,0.59976,0.40922,0.85365,0.95937,0.9774,0.995,0.70023,1.13338,0.47283,1.03194,0.00036655,0.00036655,0.00036655
93,196.221,0.59648,0.40398,0.85274,0.96821,0.99123,0.995,0.70657,1.09852,0.47056,1.01361,0.000363248,0.000363248,0.000363248
94,198.41,0.6127,0.41369,0.85606,0.97261,0.97139,0.995,0.72339,1.07309,0.46055,1.01994,0.000359947,0.000359947,0.000359947
95,200.584,0.60592,0.40994,0.85723,0.97046,0.97269,0.995,0.71874,1.07904,0.44476,1.01625,0.000356645,0.000356645,0.000356645
96,202.79,0.59988,0.40722,0.85217,0.9748,0.97775,0.995,0.72186,1.08277,0.4433,1.00996,0.000353343,0.000353343,0.000353343
97,204.989,0.60708,0.40591,0.85709,0.97618,0.96438,0.995,0.70421,1.09812,0.45657,1.02018,0.000350042,0.000350042,0.000350042
98,207.177,0.61168,0.40875,0.86188,0.96346,0.98478,0.994,0.70732,1.12007,0.47032,1.02535,0.00034674,0.00034674,0.00034674
99,209.405,0.60765,0.40183,0.85147,0.97065,0.98687,0.99318,0.68358,1.1298,0.47827,1.04481,0.000343438,0.000343438,0.000343438
100,211.633,0.60169,0.40152,0.85987,0.97039,0.97936,0.994,0.69759,1.12243,0.47627,1.03493,0.000340137,0.000340137,0.000340137
101,213.872,0.57907,0.3985,0.85114,0.96765,0.9899,0.994,0.70375,1.11938,0.48021,1.03477,0.000336835,0.000336835,0.000336835
102,216.058,0.58279,0.39082,0.85279,0.97268,0.98549,0.995,0.72149,1.14031,0.45642,1.03148,0.000333533,0.000333533,0.000333533
103,218.271,0.5662,0.39032,0.84783,0.97204,0.98522,0.995,0.70439,1.11861,0.45993,1.01129,0.000330232,0.000330232,0.000330232
104,220.483,0.56696,0.39121,0.84866,0.96471,0.98213,0.995,0.72631,1.11432,0.4698,1.02251,0.00032693,0.00032693,0.00032693
105,222.733,0.58278,0.39584,0.84995,0.97891,0.9653,0.995,0.7006,1.10828,0.46331,1.02288,0.000323628,0.000323628,0.000323628
106,224.962,0.57283,0.38926,0.84702,0.97243,0.98943,0.995,0.72101,1.09076,0.43834,1.03053,0.000320327,0.000320327,0.000320327
107,227.199,0.55977,0.38203,0.84188,0.97546,0.99688,0.995,0.69764,1.14539,0.44566,1.04522,0.000317025,0.000317025,0.000317025
108,229.431,0.55468,0.38214,0.84699,0.97664,0.9924,0.995,0.68559,1.19493,0.44438,1.05402,0.000313723,0.000313723,0.000313723
109,231.639,0.55156,0.38065,0.84279,0.97433,0.98281,0.995,0.69583,1.16618,0.46072,1.04764,0.000310422,0.000310422,0.000310422
110,233.872,0.55953,0.39228,0.84764,0.97045,0.98639,0.995,0.71948,1.08731,0.43797,1.0179,0.00030712,0.00030712,0.00030712
111,236.073,0.54329,0.37663,0.84159,0.96419,0.98293,0.994,0.70071,1.14051,0.50004,1.03931,0.000303818,0.000303818,0.000303818
112,238.325,0.56937,0.38945,0.84617,0.97169,0.96526,0.994,0.6871,1.15472,0.4959,1.04399,0.000300517,0.000300517,0.000300517
113,240.543,0.58209,0.39176,0.84581,0.97145,0.98276,0.995,0.70228,1.13992,0.47005,1.04243,0.000297215,0.000297215,0.000297215
114,242.791,0.57887,0.38456,0.84341,0.97415,0.98269,0.99318,0.70258,1.11614,0.466,1.03958,0.000293914,0.000293914,0.000293914
115,245.021,0.56454,0.37932,0.84514,0.96957,0.98632,0.995,0.68099,1.13973,0.4605,1.03657,0.000290612,0.000290612,0.000290612
116,247.314,0.54118,0.38128,0.8395,0.96573,0.99153,0.995,0.67517,1.16021,0.46915,1.05922,0.00028731,0.00028731,0.00028731
117,249.543,0.56174,0.37926,0.84574,0.96934,0.99149,0.995,0.69589,1.16226,0.4695,1.04113,0.000284009,0.000284009,0.000284009
118,251.772,0.55477,0.37956,0.84505,0.97504,0.99135,0.995,0.71844,1.13024,0.46247,1.04466,0.000280707,0.000280707,0.000280707
119,253.998,0.54257,0.37367,0.84167,0.97851,0.99083,0.995,0.71599,1.15094,0.46707,1.04625,0.000277405,0.000277405,0.000277405
120,256.218,0.57239,0.38315,0.85,0.9793,0.9899,0.99192,0.69758,1.17527,0.48616,1.04993,0.000274104,0.000274104,0.000274104
121,258.439,0.52519,0.37169,0.83886,0.97437,0.9899,0.99192,0.6963,1.15018,0.48698,1.04461,0.000270802,0.000270802,0.000270802
122,260.676,0.52471,0.36997,0.83909,0.97366,0.98597,0.995,0.70885,1.12082,0.48323,1.0392,0.0002675,0.0002675,0.0002675
123,262.902,0.50771,0.35962,0.83454,0.96905,0.9872,0.995,0.7062,1.10535,0.47132,1.03661,0.000264199,0.000264199,0.000264199
124,265.121,0.50212,0.35834,0.8329,0.96704,0.99017,0.995,0.70624,1.11556,0.46027,1.03203,0.000260897,0.000260897,0.000260897
125,267.351,0.52338,0.3623,0.83661,0.97101,0.99144,0.995,0.69955,1.12109,0.48679,1.04188,0.000257595,0.000257595,0.000257595
126,269.591,0.51018,0.3589,0.83539,0.97841,0.99165,0.995,0.6999,1.09413,0.44451,1.02583,0.000254294,0.000254294,0.000254294
127,271.814,0.52625,0.36464,0.83965,0.98077,0.99527,0.995,0.69754,1.12786,0.45733,1.04701,0.000250992,0.000250992,0.000250992
128,274.053,0.49752,0.35415,0.83152,0.9783,0.99462,0.995,0.70234,1.1147,0.45627,1.0413,0.00024769,0.00024769,0.00024769
129,276.284,0.50867,0.35702,0.83882,0.97251,0.98735,0.995,0.71077,1.11756,0.44636,1.03294,0.000244389,0.000244389,0.000244389
130,278.525,0.50792,0.3576,0.8345,0.96686,0.98363,0.995,0.70522,1.08769,0.4395,1.035,0.000241087,0.000241087,0.000241087
131,280.769,0.52517,0.36384,0.84062,0.972,0.97237,0.995,0.70809,1.12045,0.45728,1.03381,0.000237785,0.000237785,0.000237785
132,283.15,0.51562,0.35889,0.83716,0.96562,0.98005,0.995,0.69095,1.14341,0.4527,1.04328,0.000234484,0.000234484,0.000234484
133,285.391,0.48906,0.3477,0.83195,0.96712,0.9869,0.995,0.71067,1.12354,0.44996,1.02553,0.000231182,0.000231182,0.000231182
134,287.632,0.50042,0.35328,0.83335,0.97809,0.9684,0.995,0.70334,1.13451,0.47099,1.04146,0.000227881,0.000227881,0.000227881
135,289.873,0.49225,0.34441,0.83307,0.97745,0.96967,0.9925,0.68426,1.15874,0.49522,1.05657,0.000224579,0.000224579,0.000224579
136,292.12,0.49763,0.35396,0.82769,0.97653,0.98039,0.995,0.67943,1.14925,0.48057,1.05899,0.000221277,0.000221277,0.000221277
137,294.379,0.49593,0.3502,0.83246,0.97574,0.98449,0.995,0.70012,1.12932,0.46288,1.0527,0.000217976,0.000217976,0.000217976
138,296.616,0.4848,0.34607,0.82737,0.97774,0.98509,0.995,0.7021,1.1485,0.47013,1.04932,0.000214674,0.000214674,0.000214674
139,298.842,0.51034,0.35577,0.8339,0.97929,0.99073,0.995,0.70708,1.15547,0.46386,1.05115,0.000211372,0.000211372,0.000211372
140,301.057,0.5157,0.35402,0.83657,0.98027,0.99096,0.995,0.70224,1.13091,0.46142,1.04355,0.000208071,0.000208071,0.000208071
141,303.301,0.50751,0.35233,0.83783,0.98081,0.99099,0.995,0.70527,1.11058,0.46776,1.04352,0.000204769,0.000204769,0.000204769
142,305.554,0.49681,0.3502,0.83134,0.97738,0.99066,0.995,0.69011,1.16763,0.48447,1.07321,0.000201467,0.000201467,0.000201467
